PairHMM TKF92 with independent site classes over emissions
  - Number of site classes for substitution model: 1
  - Loss function: joint
  - Normalizing losses by: desc_len

2: model init

3: main training loop
New best test loss at epoch 0: 5.888853549957275
New best test loss at epoch 1: 5.88515043258667
New best test loss at epoch 2: 5.881471157073975
New best test loss at epoch 3: 5.877813816070557
New best test loss at epoch 4: 5.874181270599365
New best test loss at epoch 5: 5.870569705963135
New best test loss at epoch 6: 5.866983413696289
New best test loss at epoch 7: 5.8634233474731445
New best test loss at epoch 8: 5.859885215759277
New best test loss at epoch 9: 5.856373310089111
New best test loss at epoch 10: 5.852887153625488
New best test loss at epoch 11: 5.849425792694092
New best test loss at epoch 12: 5.845991611480713
New best test loss at epoch 13: 5.842583179473877
New best test loss at epoch 14: 5.839200019836426
New best test loss at epoch 15: 5.835841655731201
New best test loss at epoch 16: 5.832513332366943
New best test loss at epoch 17: 5.829211235046387
New best test loss at epoch 18: 5.8259358406066895
New best test loss at epoch 19: 5.822684288024902
New best test loss at epoch 20: 5.819462776184082
New best test loss at epoch 21: 5.816268444061279
New best test loss at epoch 22: 5.813100814819336
New best test loss at epoch 23: 5.809960842132568
New best test loss at epoch 24: 5.8068461418151855
New best test loss at epoch 25: 5.803762435913086
New best test loss at epoch 26: 5.800702095031738
New best test loss at epoch 27: 5.797669887542725
New best test loss at epoch 28: 5.7946672439575195
New best test loss at epoch 29: 5.791689395904541
New best test loss at epoch 30: 5.788740158081055
New best test loss at epoch 31: 5.785818099975586
New best test loss at epoch 32: 5.782922744750977
New best test loss at epoch 33: 5.780056953430176
New best test loss at epoch 34: 5.77721643447876
New best test loss at epoch 35: 5.774404525756836
New best test loss at epoch 36: 5.771617412567139
New best test loss at epoch 37: 5.768857479095459
New best test loss at epoch 38: 5.766125679016113
New best test loss at epoch 39: 5.763420581817627
New best test loss at epoch 40: 5.760741233825684
New best test loss at epoch 41: 5.758089542388916
New best test loss at epoch 42: 5.755463123321533
New best test loss at epoch 43: 5.75286340713501
New best test loss at epoch 44: 5.750290393829346
New best test loss at epoch 45: 5.747742652893066
New best test loss at epoch 46: 5.745222091674805
New best test loss at epoch 47: 5.742724895477295
New best test loss at epoch 48: 5.740254878997803
New best test loss at epoch 49: 5.7378106117248535
New best test loss at epoch 50: 5.735389232635498
New best test loss at epoch 51: 5.73299503326416
New best test loss at epoch 52: 5.730626106262207
