	original_idx	pairID	ancestor	descendant	TREEDIST_anc-to-root	TREEDIST_desc-to-root	TREEDIST_stem-to-Root	TREEDIST_anc-to-desc	perc_seq_id	pfam	pfam_Nseqs	type	clan	anc_seq_len	desc_seq_len	alignment_len	num_matches	num_ins	num_del
523	211790	FW_PT4_PID013597	W0BFJ9_9GAMM/19-272	Q5ZVB1_LEGPH/26-279	0.27853	0.28836	0.16904	0.22881	0.8110236220472441	PF03972	184	Domain	CL0722	254	254	254	254	0	0
524	211791	FW_PT4_PID013598	E6SJ57_THEM7/26-279	Q1ATE8_RUBXD/7-260	0.49406	0.44733	0.24826	0.44487	0.6771653543307087	PF03972	184	Domain	CL0722	254	254	254	254	0	0
525	211792	FW_PT4_PID013599	Q9K612_HALH5/15-268	Q8EP49_OCEIH/15-268	0.4434999999999999	0.4659599999999999	0.3819599999999999	0.14554	0.8582677165354331	PF03972	184	Domain	CL0722	254	254	254	254	0	0
526	211793	FW_PT4_PID013600	MMGE_BACSU/9-262	Q81DR9_BACCR/15-268	0.4509299999999999	0.3910699999999999	0.3550799999999999	0.13184	0.8700787401574803	PF03972	184	Domain	CL0722	254	254	254	254	0	0
527	211794	FW_PT4_PID013601	G2TQL0_WEICA/22-275	Q5WH14_ALKCK/15-268	0.3929399999999999	0.45509	0.27902	0.2899899999999999	0.7834645669291339	PF03972	184	Domain	CL0722	254	254	254	254	0	0
528	211795	FW_PT4_PID013602	C8WU79_ALIAD/18-271	A8FE51_BACP2/15-268	0.46357	0.4322199999999999	0.17836	0.5390699999999999	0.6496062992125984	PF03972	184	Domain	CL0722	254	254	254	254	0	0
529	211796	FW_PT4_PID013603	Q7VJ44_HELHP/20-274	F8KQ57_HELBC/19-273	0.48791	0.60886	0.3896	0.31757	0.7411764705882353	PF03972	184	Domain	CL0722	255	255	255	255	0	0
530	211797	FW_PT4_PID013604	A1WVY4_HALHL/18-271	Q0A5E6_ALKEH/21-274	0.35981	0.33062	0.18768	0.31507	0.7637795275590551	PF03972	184	Domain	CL0722	254	254	254	254	0	0
531	211798	FW_PT4_PID013605	S6CG32_9GAMM/19-273	D5BZS5_NITHN/18-271	0.36714	0.37652	0.10425	0.5351600000000001	0.6692913385826772	PF03972	184	Domain	CL0722	255	254	255	254	0	1
532	211799	FW_PT4_PID013606	Q63JJ1_BURPS/17-270	A1WFM7_VEREI/17-270	0.30635	0.33006	0.21407	0.20827	0.8110236220472441	PF03972	184	Domain	CL0722	254	254	254	254	0	0
533	211800	FW_PT4_PID013607	PRPD_ECOLI/17-270	H1ZC95_MYROD/17-270	0.2223	0.29588	0.14602	0.22614	0.8110236220472441	PF03972	184	Domain	CL0722	254	254	254	254	0	0
534	211801	FW_PT4_PID013608	E8X2K6_GRATM/16-269	G8P1F3_GRAMM/29-277	0.25963	0.23288	0.14207	0.20837	0.8273092369477911	PF03972	184	Domain	CL0722	254	249	254	249	0	5
535	211802	FW_PT4_PID013609	M1SA15_MORMO/17-270	E8RM12_ASTEC/17-270	0.22983	0.20538	0.09405	0.24711	0.8070866141732284	PF03972	184	Domain	CL0722	254	254	254	254	0	0
536	211803	FW_PT4_PID013610	S6B3U9_SULDS/17-270	C6WUQ9_METML/17-270	0.18912	0.21234	0.10914	0.18318	0.8267716535433071	PF03972	184	Domain	CL0722	254	254	254	254	0	0
537	211804	FW_PT4_PID013611	G2J2L2_PSEUL/17-270	Q2YAP7_NITMU/17-270	0.2418	0.26722	0.05506	0.3989	0.7047244094488189	PF03972	184	Domain	CL0722	254	254	255	253	1	1
538	211805	FW_PT4_PID013612	A0KKI9_AERHH/18-271	A1SV56_PSYIN/18-271	0.17501	0.26747	0.07604	0.2904	0.7598425196850394	PF03972	184	Domain	CL0722	254	254	254	254	0	0
