	original_idx	pairID	ancestor	descendant	TREEDIST_anc-to-root	TREEDIST_desc-to-root	TREEDIST_stem-to-Root	TREEDIST_anc-to-desc	perc_seq_id	pfam	pfam_Nseqs	type	clan	anc_seq_len	desc_seq_len	alignment_len	num_matches	num_ins	num_del
180	114640	FW_PT2_PID006849	C4R600_KOMPG/7-126	K0L0Z2_WICCF/7-128	1.45931	1.55217	0.8661800000000001	1.27912	0.4416666666666666	PF01900	194	Family	CL0734	120	122	127	115	7	5
181	114641	FW_PT2_PID006850	G8Y6F1_PICSO/7-140	C4Y411_CLAL4/7-139	1.34418	1.50862	1.03558	0.78164	0.5639097744360902	PF01900	194	Family	CL0734	134	133	135	132	1	2
182	114642	FW_PT2_PID006851	G8B779_CANPC/7-143	A5DXB8_LODEL/7-139	1.60307	1.77349	1.34964	0.67728	0.5639097744360902	PF01900	194	Family	CL0734	137	133	142	128	5	9
183	114643	FW_PT2_PID006852	Q5AEJ3_CANAL/7-138	C5M840_CANTT/7-138	1.51993	1.59576	1.34948	0.41673	0.696969696969697	PF01900	194	Family	CL0734	132	132	132	132	0	0
184	114644	FW_PT2_PID006853	G3AQG9_SPAPN/7-137	G3AY79_CANTC/7-137	1.4634200000000002	1.64806	1.12447	0.86254	0.5419847328244275	PF01900	194	Family	CL0734	131	131	133	129	2	2
185	114645	FW_PT2_PID006854	Q6BJN2_DEBHA/7-140	A5DMZ4_PICGU/7-131	1.35845	1.59594	1.15693	0.64053	0.632	PF01900	194	Family	CL0734	134	125	134	125	0	9
186	114646	FW_PT2_PID006855	I6NCQ6_ERECY/7-135	Q759B5_ASHGO/7-135	1.89094	1.90847	1.64395	0.5115099999999999	0.6666666666666666	PF01900	194	Family	CL0734	129	129	129	129	0	0
187	114647	FW_PT2_PID006856	C5DG25_LACTC/7-135	Q6CLJ8_KLULA/59-185	1.80629	1.8763	1.39557	0.89145	0.5511811023622047	PF01900	194	Family	CL0734	129	127	129	127	0	2
188	114648	FW_PT2_PID006857	I2H4E1_TETBL/7-135	G8C0Z8_TETPH/7-133	2.01981	1.89937	1.60385	0.71148	0.5590551181102362	PF01900	194	Family	CL0734	129	127	138	118	9	11
189	114649	FW_PT2_PID006858	POP5_YEAST/7-131	J7RL51_KAZNA/7-130	1.8697	2.14565	1.70345	0.6084499999999999	0.5806451612903226	PF01900	194	Family	CL0734	125	124	142	107	17	18
190	114650	FW_PT2_PID006859	G0WEW6_NAUDC/7-129	G0VGG7_NAUCC/7-128	2.13944	2.09059	1.75592	0.7181900000000001	0.5655737704918032	PF01900	194	Family	CL0734	123	122	129	116	6	7
